,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
47,47,25-05-2020 13:04:30,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.099,64692,24345,2159,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,25-05-2020 13:04:30,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.044000000000000004,28752,10820,959,400.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,25-05-2020 13:04:30,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.077,50316,18935,1679,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,25-05-2020 13:04:30,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0462,30190,11361,1007,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,25-05-2020 13:04:30,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0148,9704,3652,324,135.0,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
52,52,25-05-2020 13:04:30,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.08800000000000001,57504,21640,1919,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,25-05-2020 13:04:30,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2447,159934,60186,5337,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,25-05-2020 13:04:30,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1732,112062,42171,3739,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,55,25-05-2020 13:04:30,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.040999999999999995,26524,9981,885,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,56,25-05-2020 13:04:30,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.035,22642,8521,756,315.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
