,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Didube,Nadzaladevi,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
73,73,11-07-2020 13:26:52,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0192,14246,5450,486,,200.0,,,,,,,,,,,,Rabota kur'erom
74,74,11-07-2020 13:26:52,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5997,1068447,408750,36450,,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,11-07-2020 13:26:52,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0528,35615,13625,1215,,500.0,True,,,,True,,True,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,76,11-07-2020 13:28:46,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,2,нет,Батуми,2 гр,0.0192,14246,5450,486,,200.0,,,,,,,,,True,,,Golosa(GHS)+ DOS-vi-DOS 2g
77,77,11-07-2020 13:28:46,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0373,24883,9517,850,310.0,,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
78,78,11-07-2020 13:28:46,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.0529,35318,13508,1207,440.0,,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
79,79,11-07-2020 13:28:46,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0469,31305,11973,1070,390.0,,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,80,11-07-2020 13:28:46,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Батуми,11 гр,0.048,32027,12249,1095,399.0,,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
81,81,11-07-2020 13:28:46,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1676,112990,51992,3855,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,82,11-07-2020 13:28:46,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,6104,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,83,11-07-2020 13:28:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2725,243,,100.0,,,,,,,,,True,,,kur'er v Batumi
84,84,11-07-2020 13:28:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17807,6813,608,,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,85,11-07-2020 13:28:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17807,6813,608,,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
86,86,11-07-2020 13:28:46,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14246,5450,486,,200.0,,,,,,,,,True,,,Kur'er Batumi na marihuanu
87,87,11-07-2020 13:28:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5997,1068447,408750,36450,,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,88,11-07-2020 13:28:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35615,13625,1215,,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,11-07-2020 13:30:24,Kutaisi,b7446e2cca,CUSTOM Шишки 3in1 3g,,1,нет,Кутаиси,3 гр,0.0106,7123,2725,243,,100.0,,,,,,,,,,,True,CUSTOM Shishki 3in1 3g
90,90,11-07-2020 13:30:24,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4458,300590,114995,10255,,4220.0,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
